MAXM86161reg0x0D,MAXM86161reg0x10,MAXM86161reg0x11,MAXM86161reg0x12,MAXM86161reg0x13,MAXM86161reg0x14,MAXM86161reg0x15,MAXM86161reg0x16,MAXM86161reg0x20,MAXM86161reg0x21,MAXM86161reg0x22,MAXM86161reg0x23,MAXM86161reg0x24,MAXM86161reg0x25,MAXM86161reg0x26,MAXM86161reg0x27,MAXM86161reg0x28,MAXM86161reg0x29,
MAXM86161reg0x2A,MAXM86161reg0x2B,MAXM86161reg0xFE,MAXM86161reg0xFF,KX122reg0x18,KX122reg0x1B,0,0,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0x02,0x00,0x2b,0x68,0xc0,0x00,0x11,0x42,0x32,0x09,0x00,0x00,0x0a,0x0a,0x00,0x00,0x00,0x00,
0x3f,0x00,0x0a,0x36,0x10,0x04,0x00,0x00,0x00,0x00,0x1f,0xc5,0x37,0x69,0xca,0x01,0x01,0x73,
start time,1596741609930
expected tags,1,2,3,
timestamp,sampleNum,tagLEDC1,tagLEDC2,tagLEDC3,LEDC1,LEDC2,LEDC3,ACCX,ACCY,ACCZ,temperature,RTC,sensor,regAddr,val,I2Caddr,
1596741610249.146500,1,0,0,0,57615.000000,57929.000000,1111.000000,15.000000,-92.000000,-948.000000,,,,,,,
1596741610368.293200,2,0,0,0,82394.000000,90910.000000,1110.000000,70.000000,-22.000000,-1014.000000,,,,,,,
1596741610487.439700,3,0,0,0,82371.000000,106658.000000,1110.000000,126.000000,-36.000000,-1126.000000,,,,,,,
1596741610606.586200,4,0,0,0,82423.000000,106683.000000,1111.000000,78.000000,-46.000000,-1081.000000,0.000000,489,,,,,
1596741610617.646000,5,0,0,0,82441.000000,106659.000000,1114.000000,70.000000,21.000000,-1036.000000,,,,,,,
1596741610628.705600,6,0,0,0,82449.000000,106658.000000,1126.000000,94.000000,-54.000000,-1109.000000,,,,,,,
1596741610639.765400,7,0,0,0,82432.000000,106676.000000,1121.000000,141.000000,-41.000000,-1125.000000,,,,,,,
1596741610650.825200,8,0,0,0,82464.000000,106703.000000,1113.000000,151.000000,-28.000000,-1152.000000,,,,,,,
1596741610661.885000,9,0,0,0,82463.000000,106706.000000,1114.000000,148.000000,-16.000000,-1114.000000,,,,,,,
1596741610672.944600,10,0,0,0,82486.000000,106695.000000,1115.000000,86.000000,15.000000,-1045.000000,,,,,,,
1596741610684.004400,11,0,0,0,82474.000000,106697.000000,1112.000000,109.000000,21.000000,-1046.000000,,,,,,,
1596741610695.064200,12,0,0,0,82500.000000,106718.000000,1113.000000,112.000000,12.000000,-1062.000000,,,,,,,
1596741610706.124000,13,0,0,0,82522.000000,106750.000000,1117.000000,141.000000,-9.000000,-1099.000000,,,,,,,
1596741610717.183600,14,0,0,0,82507.000000,106728.000000,1115.000000,114.000000,-80.000000,-1060.000000,,,,,,,
1596741610728.243400,15,0,0,0,82542.000000,106756.000000,1112.000000,80.000000,-25.000000,-1071.000000,,,,,,,
1596741610739.303200,16,0,0,0,82550.000000,106755.000000,1117.000000,76.000000,0.000000,-1013.000000,,,,,,,
1596741610750.363000,17,0,0,0,82580.000000,106757.000000,1118.000000,54.000000,-71.000000,-1024.000000,,,,,,,
1596741610761.422600,18,0,0,0,82560.000000,106759.000000,1118.000000,103.000000,-58.000000,-1055.000000,,,,,,,
1596741610772.482400,19,0,0,0,82595.000000,106766.000000,1117.000000,112.000000,-17.000000,-1066.000000,,,,,,,
1596741610783.542200,20,0,0,0,82578.000000,106797.000000,1126.000000,79.000000,-26.000000,-1040.000000,,,,,,,
1596741610794.601800,21,0,0,0,82611.000000,106749.000000,1120.000000,97.000000,-41.000000,-1098.000000,,,,,,,
1596741610805.661600,22,0,0,0,82607.000000,106770.000000,1128.000000,113.000000,-47.000000,-1109.000000,,,,,,,
1596741610816.721400,23,0,0,0,82620.000000,106775.000000,1133.000000,97.000000,-134.000000,-1054.000000,,,,,,,
1596741610827.781200,24,0,0,0,82637.000000,106770.000000,1130.000000,153.000000,12.000000,-1120.000000,,,,,,,
1596741610838.840800,25,0,0,0,82634.000000,106785.000000,1123.000000,114.000000,29.000000,-1074.000000,,,,,,,
1596741610849.900600,26,0,0,0,82666.000000,106807.000000,1123.000000,146.000000,1.000000,-1122.000000,,,,,,,
1596741610860.960400,27,0,0,0,82685.000000,106812.000000,1125.000000,115.000000,-61.000000,-1096.000000,,,,,,,
1596741610872.020300,28,0,0,0,82708.000000,106832.000000,1127.000000,97.000000,-43.000000,-1028.000000,,,,,,,
1596741610883.079800,29,0,0,0,82712.000000,106822.000000,1125.000000,20.000000,2.000000,-947.000000,,,,,,,
1596741610894.139600,30,0,0,0,82697.000000,106814.000000,1126.000000,93.000000,-1.000000,-1056.000000,,,,,,,
1596741610905.199500,31,0,0,0,82696.000000,106843.000000,1128.000000,131.000000,14.000000,-1099.000000,,,,,,,
1596741610916.259300,32,0,0,0,82714.000000,106819.000000,1122.000000,101.000000,27.000000,-1054.000000,,,,,,,
1596741610927.318800,33,0,0,0,82726.000000,106835.000000,1128.000000,77.000000,29.000000,-1007.000000,,,,,,,
1596741610938.378700,34,0,0,0,82751.000000,106849.000000,1128.000000,160.000000,30.000000,-1111.000000,,,,,,,
1596741610949.438500,35,0,0,0,82774.000000,106826.000000,1129.000000,124.000000,49.000000,-1083.000000,,,,,,,
1596741610960.498000,36,0,0,0,82700.000000,106855.000000,1131.000000,143.000000,14.000000,-1112.000000,,,,,,,
1596741610971.557900,37,0,0,0,82688.000000,106802.000000,1119.000000,90.000000,-68.000000,-1061.000000,,,,,,,
1596741610982.617700,38,0,0,0,82642.000000,106790.000000,1127.000000,46.000000,32.000000,-1016.000000,,,,,,,
1596741610993.677500,39,0,0,0,82545.000000,106747.000000,1125.000000,138.000000,-15.000000,-1107.000000,,,,,,,
1596741611004.737100,40,0,0,0,82513.000000,106699.000000,1120.000000,107.000000,50.000000,-1055.000000,,,,,,,
1596741611015.796900,41,0,0,0,82432.000000,106690.000000,1106.000000,76.000000,9.000000,-1059.000000,,,,,,,
1596741611026.856700,42,0,0,0,82405.000000,106642.000000,1106.000000,74.000000,-52.000000,-1036.000000,,,,,,,
1596741611037.916500,43,0,0,0,82315.000000,106626.000000,1105.000000,95.000000,-110.000000,-1088.000000,,,,,,,
1596741611048.976100,44,0,0,0,82310.000000,106624.000000,1101.000000,120.000000,-46.000000,-1145.000000,,,,,,,
1596741611060.035900,45,0,0,0,82275.000000,106623.000000,1106.000000,162.000000,-49.000000,-1187.000000,,,,,,,
1596741611071.095700,46,0,0,0,82265.000000,106598.000000,1100.000000,111.000000,-22.000000,-1072.000000,,,,,,,
1596741611082.155300,47,0,0,0,82240.000000,106585.000000,1106.000000,125.000000,-6.000000,-1080.000000,,,,,,,
1596741611093.215100,48,0,0,0,82252.000000,106575.000000,1101.000000,103.000000,-41.000000,-1055.000000,,,,,,,
1596741611104.274900,49,0,0,0,82238.000000,106573.000000,1103.000000,26.000000,62.000000,-965.000000,,,,,,,
1596741611115.334700,50,0,0,0,82266.000000,106595.000000,1108.000000,75.000000,8.000000,-1062.000000,,,,,,,
1596741611126.394300,51,0,0,0,82284.000000,106599.000000,1106.000000,90.000000,-47.000000,-1072.000000,,,,,,,
1596741611137.454100,52,0,0,0,82330.000000,106632.000000,1114.000000,91.000000,-36.000000,-1066.000000,,,,,,,
1596741611148.513900,53,0,0,0,82342.000000,106618.000000,1108.000000,110.000000,-28.000000,-1094.000000,,,,,,,
1596741611159.573700,54,0,0,0,82331.000000,106610.000000,1109.000000,97.000000,-78.000000,-1065.000000,,,,,,,
1596741611170.633300,55,0,0,0,82347.000000,106629.000000,1121.000000,64.000000,-86.000000,-1031.000000,,,,,,,
1596741611181.693100,56,0,0,0,82370.000000,106633.000000,1120.000000,120.000000,6.000000,-1060.000000,,,,,,,
1596741611192.752900,57,0,0,0,82370.000000,106643.000000,1110.000000,131.000000,-7.000000,-1076.000000,,,,,,,
1596741611203.812700,58,0,0,0,82389.000000,106645.000000,1111.000000,83.000000,22.000000,-1087.000000,,,,,,,
1596741611214.872300,59,0,0,0,82393.000000,106664.000000,1111.000000,58.000000,0.000000,-1010.000000,,,,,,,
1596741611225.932100,60,0,0,0,82381.000000,106701.000000,1120.000000,163.000000,-46.000000,-1143.000000,,,,,,,
1596741611236.991900,61,0,0,0,82454.000000,106629.000000,1114.000000,87.000000,-78.000000,-1061.000000,,,,,,,
1596741611248.051500,62,0,0,0,82434.000000,106671.000000,1109.000000,114.000000,-29.000000,-1144.000000,,,,,,,
1596741611259.111300,63,0,0,0,82437.000000,106712.000000,1114.000000,114.000000,-21.000000,-1085.000000,,,,,,,
1596741611270.171100,64,0,0,0,82486.000000,106705.000000,1110.000000,97.000000,0.000000,-1054.000000,,,,,,,
1596741611281.231000,65,0,0,0,82478.000000,106698.000000,1116.000000,154.000000,-17.000000,-1149.000000,,,,,,,
1596741611292.290500,66,0,0,0,82498.000000,106717.000000,1116.000000,63.000000,-14.000000,-1015.000000,,,,,,,
1596741611303.350300,67,0,0,0,82494.000000,106723.000000,1117.000000,114.000000,7.000000,-1081.000000,,,,,,,
1596741611314.410200,68,0,0,0,82495.000000,106714.000000,1117.000000,137.000000,-33.000000,-1144.000000,,,,,,,
1596741611325.470000,69,0,0,0,82559.000000,106741.000000,1126.000000,68.000000,-46.000000,-1013.000000,,,,,,,
1596741611336.529500,70,0,0,0,82520.000000,106745.000000,1124.000000,0.000000,-1.000000,-955.000000,,,,,,,
1596741611347.589400,71,0,0,0,82563.000000,106728.000000,1129.000000,102.000000,-32.000000,-1120.000000,,,,,,,
1596741611358.649200,72,0,0,0,82558.000000,106734.000000,1131.000000,108.000000,-9.000000,-1102.000000,,,,,,,
1596741611369.708700,73,0,0,0,82586.000000,106773.000000,1123.000000,134.000000,-30.000000,-1072.000000,,,,,,,
1596741611380.768600,74,0,0,0,82601.000000,106770.000000,1124.000000,110.000000,-29.000000,-1100.000000,,,,,,,
1596741611391.828400,75,0,0,0,82575.000000,106777.000000,1124.000000,104.000000,-3.000000,-1086.000000,,,,,,,
1596741611402.888200,76,0,0,0,82646.000000,106747.000000,1126.000000,95.000000,-5.000000,-1078.000000,,,,,,,
1596741611413.947800,77,0,0,0,82588.000000,106765.000000,1122.000000,87.000000,-21.000000,-1052.000000,,,,,,,
1596741611425.007600,78,0,0,0,82648.000000,106804.000000,1125.000000,117.000000,-21.000000,-1142.000000,,,,,,,
1596741611436.067400,79,0,0,0,82644.000000,106799.000000,1127.000000,128.000000,4.000000,-1099.000000,,,,,,,
1596741611447.127200,80,0,0,0,82656.000000,106805.000000,1128.000000,135.000000,51.000000,-1072.000000,,,,,,,
1596741611458.186800,81,0,0,0,82675.000000,106810.000000,1129.000000,8.000000,2.000000,-905.000000,,,,,,,
1596741611469.246600,82,0,0,0,82695.000000,106819.000000,1131.000000,73.000000,-47.000000,-988.000000,,,,,,,
1596741611480.306400,83,0,0,0,82695.000000,106817.000000,1129.000000,87.000000,22.000000,-1037.000000,,,,,,,
1596741611491.366200,84,0,0,0,82710.000000,106822.000000,1128.000000,74.000000,69.000000,-1041.000000,,,,,,,
1596741611502.425800,85,0,0,0,82707.000000,106832.000000,1132.000000,58.000000,14.000000,-1014.000000,,,,,,,
1596741611513.485600,86,0,0,0,82654.000000,106740.000000,1126.000000,56.000000,13.000000,-1004.000000,,,,,,,
1596741611524.545400,87,0,0,0,82550.000000,106725.000000,1126.000000,110.000000,-66.000000,-1096.000000,,,,,,,
1596741611535.605000,88,0,0,0,82490.000000,106677.000000,1126.000000,134.000000,-7.000000,-1118.000000,,,,,,,
1596741611546.664800,89,0,0,0,82453.000000,106669.000000,1122.000000,33.000000,42.000000,-981.000000,,,,,,,
1596741611557.724600,90,0,0,0,82397.000000,106647.000000,1111.000000,70.000000,52.000000,-1007.000000,,,,,,,
1596741611568.784400,91,0,0,0,82339.000000,106617.000000,1107.000000,96.000000,-103.000000,-1083.000000,,,,,,,
1596741611579.844000,92,0,0,0,82308.000000,106608.000000,1107.000000,106.000000,-88.000000,-1063.000000,,,,,,,
1596741611590.903800,93,0,0,0,82280.000000,106620.000000,1113.000000,71.000000,-35.000000,-1001.000000,,,,,,,
1596741611601.963600,94,0,0,0,82267.000000,106591.000000,1107.000000,63.000000,-83.000000,-1035.000000,,,,,,,
1596741611613.023400,95,0,0,0,82265.000000,106591.000000,1110.000000,36.000000,-14.000000,-957.000000,,,,,,,
1596741611624.083000,96,0,0,0,82257.000000,106568.000000,1105.000000,90.000000,9.000000,-1045.000000,0.000000,1533,,,,,
1596741611639.707300,97,0,0,0,82269.000000,106580.000000,1106.000000,91.000000,-26.000000,-1062.000000,,,,,,,
1596741611655.331500,98,0,0,0,82309.000000,106580.000000,1113.000000,79.000000,-28.000000,-1028.000000,,,,,,,
1596741611670.955800,99,0,0,0,82319.000000,106612.000000,1112.000000,87.000000,-53.000000,-1045.000000,,,,,,,
1596741611686.580100,100,0,0,0,82324.000000,106631.000000,1114.000000,105.000000,-2.000000,-1098.000000,,,,,,,
1596741611702.204600,101,0,0,0,82344.000000,106658.000000,1122.000000,118.000000,-46.000000,-1118.000000,,,,,,,
1596741611717.828900,102,0,0,0,82390.000000,106603.000000,1117.000000,57.000000,7.000000,-1014.000000,,,,,,,
1596741611733.453100,103,0,0,0,82357.000000,106631.000000,1118.000000,114.000000,78.000000,-1097.000000,,,,,,,
1596741611749.077400,104,0,0,0,82370.000000,106634.000000,1128.000000,153.000000,-40.000000,-1121.000000,,,,,,,
1596741611764.701700,105,0,0,0,82394.000000,106627.000000,1130.000000,137.000000,51.000000,-1156.000000,,,,,,,
1596741611780.325900,106,0,0,0,82411.000000,106631.000000,1118.000000,101.000000,-34.000000,-1063.000000,,,,,,,
1596741611795.950200,107,0,0,0,82411.000000,106642.000000,1119.000000,67.000000,-39.000000,-991.000000,,,,,,,
1596741611811.574500,108,0,0,0,82405.000000,106674.000000,1122.000000,112.000000,-49.000000,-1073.000000,,,,,,,
1596741611827.198700,109,0,0,0,82453.000000,106616.000000,1124.000000,87.000000,-68.000000,-1029.000000,,,,,,,
1596741611842.823000,110,0,0,0,82396.000000,106660.000000,1120.000000,95.000000,-4.000000,-1039.000000,,,,,,,
1596741611858.447300,111,0,0,0,82451.000000,106642.000000,1119.000000,154.000000,0.000000,-1146.000000,,,,,,,
1596741611874.071500,112,0,0,0,82440.000000,106664.000000,1119.000000,166.000000,-36.000000,-1178.000000,,,,,,,
1596741611889.695800,113,0,0,0,82478.000000,106685.000000,1120.000000,146.000000,-61.000000,-1153.000000,,,,,,,
1596741611905.320100,114,0,0,0,82499.000000,106689.000000,1124.000000,64.000000,-5.000000,-1003.000000,,,,,,,
1596741611920.944300,115,0,0,0,82498.000000,106700.000000,1125.000000,138.000000,-118.000000,-1118.000000,,,,,,,
