MAXM86161reg0x0D,MAXM86161reg0x10,MAXM86161reg0x11,MAXM86161reg0x12,MAXM86161reg0x13,MAXM86161reg0x14,MAXM86161reg0x15,MAXM86161reg0x16,MAXM86161reg0x20,MAXM86161reg0x21,MAXM86161reg0x22,MAXM86161reg0x23,MAXM86161reg0x24,MAXM86161reg0x25,MAXM86161reg0x26,MAXM86161reg0x27,MAXM86161reg0x28,MAXM86161reg0x29,
MAXM86161reg0x2A,MAXM86161reg0x2B,MAXM86161reg0xFE,MAXM86161reg0xFF,KX122reg0x18,KX122reg0x1B,0,0,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0x02,0x00,0x2b,0x68,0xc0,0x00,0x00,0x40,0x32,0x09,0x00,0x00,0x0a,0x0a,0x00,0x00,0x00,0x00,
0x3f,0x00,0x0a,0x36,0x10,0x04,0x00,0x00,0x00,0x00,0x1f,0xc5,0x65,0xba,0x4c,0x01,0x01,0x73,
start time,1596744645196
expected tags,1,2,3,
timestamp,sampleNum,tagLEDC1,tagLEDC2,tagLEDC3,LEDC1,LEDC2,LEDC3,ACCX,ACCY,ACCZ,temperature,RTC,sensor,regAddr,val,I2Caddr,
1596744645411.521200,1,0,0,0,57677.000000,58054.000000,1083.000000,46.000000,-87.000000,-1001.000000,,,,,,,
1596744645427.042700,2,0,0,0,77660.000000,90653.000000,1095.000000,93.000000,-60.000000,-1088.000000,,,,,,,
1596744645442.564000,3,0,0,0,77759.000000,95503.000000,1078.000000,121.000000,-22.000000,-1101.000000,,,,,,,
1596744645458.085200,4,0,0,0,77702.000000,95672.000000,1094.000000,116.000000,28.000000,-1069.000000,,,,,,,
1596744645473.606400,5,0,0,0,77782.000000,95623.000000,1085.000000,107.000000,107.000000,-1037.000000,,,,,,,
1596744645489.127900,6,0,0,0,77743.000000,95626.000000,1087.000000,144.000000,-38.000000,-1151.000000,,,,,,,
1596744645504.649200,7,0,0,0,77755.000000,95622.000000,1088.000000,70.000000,-93.000000,-1071.000000,,,,,,,
1596744645520.170400,8,0,0,0,77769.000000,95623.000000,1088.000000,102.000000,112.000000,-1012.000000,,,,,,,
1596744645535.691700,9,0,0,0,77746.000000,95670.000000,1089.000000,89.000000,45.000000,-1010.000000,,,,,,,
1596744645551.213100,10,0,0,0,77844.000000,95762.000000,1093.000000,93.000000,14.000000,-1034.000000,,,,,,,
1596744645566.734400,11,0,0,0,77909.000000,95660.000000,1086.000000,203.000000,99.000000,-1158.000000,,,,,,,
1596744645582.255600,12,0,0,0,77802.000000,95737.000000,1112.000000,31.000000,4.000000,-939.000000,,,,,,,
1596744645597.776900,13,0,0,0,77812.000000,95636.000000,1092.000000,51.000000,75.000000,-947.000000,,,,,,,
1596744645613.298300,14,0,0,0,77851.000000,95715.000000,1088.000000,-26.000000,-7.000000,-902.000000,,,,,,,
1596744645628.819600,15,0,0,0,77869.000000,95780.000000,1093.000000,106.000000,-12.000000,-1080.000000,,,,,,,
1596744645644.340800,16,0,0,0,77891.000000,95771.000000,1096.000000,18.000000,22.000000,-944.000000,,,,,,,
1596744645659.862100,17,0,0,0,77849.000000,95820.000000,1094.000000,105.000000,73.000000,-1051.000000,,,,,,,
1596744645675.383500,18,0,0,0,77864.000000,95966.000000,1104.000000,129.000000,3.000000,-1115.000000,,,,,,,
1596744645690.904800,19,0,0,0,78001.000000,95777.000000,1090.000000,94.000000,79.000000,-1033.000000,,,,,,,
1596744645706.426000,20,0,0,0,77886.000000,95918.000000,1114.000000,7.000000,82.000000,-898.000000,,,,,,,
1596744645721.947300,21,0,0,0,77926.000000,95904.000000,1103.000000,138.000000,89.000000,-1074.000000,,,,,,,
1596744645737.468700,22,0,0,0,77952.000000,95967.000000,1099.000000,134.000000,-23.000000,-1158.000000,,,,,,,
1596744645752.990000,23,0,0,0,77945.000000,95924.000000,1108.000000,165.000000,-39.000000,-1169.000000,,,,,,,
1596744645768.511200,24,0,0,0,77970.000000,95914.000000,1102.000000,225.000000,34.000000,-1267.000000,,,,,,,
1596744645784.032700,25,0,0,0,77935.000000,95945.000000,1105.000000,161.000000,-49.000000,-1171.000000,,,,,,,
1596744645799.554000,26,0,0,0,77988.000000,95903.000000,1103.000000,45.000000,-46.000000,-950.000000,,,,,,,
1596744645815.075200,27,0,0,0,78020.000000,96000.000000,1102.000000,27.000000,-3.000000,-914.000000,,,,,,,
1596744645830.596400,28,0,0,0,77977.000000,96063.000000,1106.000000,86.000000,64.000000,-1008.000000,,,,,,,
1596744645846.117900,29,0,0,0,78078.000000,95940.000000,1102.000000,46.000000,56.000000,-918.000000,,,,,,,
1596744645861.639200,30,0,0,0,77990.000000,96015.000000,1111.000000,94.000000,-37.000000,-1052.000000,,,,,,,
1596744645877.160400,31,0,0,0,78049.000000,96033.000000,1098.000000,177.000000,66.000000,-1144.000000,,,,,,,
1596744645892.681600,32,0,0,0,78050.000000,96056.000000,1108.000000,33.000000,19.000000,-951.000000,,,,,,,
1596744645908.203100,33,0,0,0,78086.000000,96061.000000,1106.000000,85.000000,-117.000000,-1058.000000,,,,,,,
1596744645923.724400,34,0,0,0,77973.000000,95973.000000,1100.000000,95.000000,-76.000000,-1069.000000,,,,,,,
1596744645939.245600,35,0,0,0,77921.000000,95941.000000,1101.000000,121.000000,166.000000,-1022.000000,,,,,,,
1596744645954.766800,36,0,0,0,77851.000000,95990.000000,1109.000000,75.000000,120.000000,-983.000000,,,,,,,
1596744645970.288300,37,0,0,0,77811.000000,95823.000000,1079.000000,79.000000,13.000000,-1008.000000,,,,,,,
1596744645985.809600,38,0,0,0,77722.000000,95780.000000,1097.000000,62.000000,130.000000,-983.000000,,,,,,,
1596744646001.330800,39,0,0,0,77714.000000,95615.000000,1094.000000,215.000000,85.000000,-1213.000000,,,,,,,
1596744646016.852100,40,0,0,0,77660.000000,95597.000000,1092.000000,154.000000,100.000000,-1119.000000,,,,,,,
1596744646032.373500,41,0,0,0,77663.000000,95513.000000,1086.000000,23.000000,-64.000000,-947.000000,,,,,,,
1596744646047.894800,42,0,0,0,77563.000000,95531.000000,1095.000000,151.000000,55.000000,-1119.000000,,,,,,,
1596744646063.416000,43,0,0,0,77588.000000,95381.000000,1083.000000,20.000000,47.000000,-932.000000,,,,,,,
1596744646078.937300,44,0,0,0,77542.000000,95398.000000,1094.000000,141.000000,163.000000,-1061.000000,,,,,,,
1596744646094.458700,45,0,0,0,77534.000000,95434.000000,1099.000000,104.000000,-10.000000,-1040.000000,,,,,,,
1596744646109.980000,46,0,0,0,77647.000000,95349.000000,1084.000000,94.000000,-90.000000,-1066.000000,,,,,,,
