1,2,3,4,5,6
237396,192,281692,,,
237448,192,281734,,,
237523,191,281768,,,
237598,192,281778,,,
237668,192,281789,,,
237732,194,281830,,,
237806,192,281856,,,
237864,192,281874,,,
237955,191,281938,,,
238015,193,281942,,,
238053,193,281952,,,
238147,193,281966,,,
238228,192,282018,,,
238276,192,282044,,,
238062,193,281844,,,
237796,193,281610,,,
237589,194,281521,,,
237444,193,281456,,,
237248,192,281402,,,
237151,191,281352,,,
237125,194,281381,,,
237078,192,281353,,,
237041,192,281351,,,
237037,191,281402,,,
237055,192,281408,,,
237057,192,281423,,,
237110,193,281447,,,
237139,192,281523,,,
237186,191,281535,,,
237239,192,281557,,,
237260,191,281545,,,
237307,194,281567,,,
237344,192,281598,,,
237390,192,281625,,,
237475,190,281646,,,
237552,191,281695,,,
237601,193,281730,,,
237659,192,281755,,,
237652,193,281742,,,
237498,190,281550,,,
237334,191,281493,,,
237210,192,281429,,,
237108,193,281385,,,
237033,192,281356,,,
237039,191,281378,,,
237011,190,281398,,,
237016,191,281422,,,
237025,192,281420,,,
237048,192,281442,,,
237088,191,281472,,,
237124,190,281480,,,
237180,191,281537,,,
237208,193,281574,,,
237290,193,281592,,,
237312,191,281653,,,
237372,191,281656,,,
237427,191,281685,,,
237500,192,281674,,,
237562,193,281742,,,
237610,192,281761,,,
237675,191,281784,,,
237736,192,281790,,,
237668,193,281701,,,
237485,194,281577,,,
237323,193,281459,,,
237239,191,281432,,,
237114,191,281395,,,
237049,191,281377,,,
237066,193,281393,,,
237032,192,281412,,,
237014,191,281397,,,
237029,190,281446,,,
237061,192,281428,,,
237073,193,281514,,,
237134,192,281528,,,
237176,192,281527,,,
237218,191,281587,,,
237279,191,281577,,,
237322,191,281655,,,
237382,193,281645,,,
237427,192,281672,,,
237487,192,281708,,,
237527,191,281716,,,
237596,193,281768,,,
237650,195,281754,,,
237705,193,281815,,,
237621,191,281720,,,
237421,191,281549,,,
237292,192,281488,,,
237168,193,281406,,,
237061,192,281381,,,
237015,193,281375,,,
237001,191,281397,,,
236984,190,281390,,,
236985,193,281414,,,
236976,192,281432,,,
237006,191,281469,,,
237015,191,281464,,,
237072,191,281514,,,
237124,192,281517,,,
237146,193,281534,,,
237211,192,281556,,,
237266,191,281588,,,
237330,191,281645,,,
237347,192,281663,,,
237413,192,281665,,,
237492,193,281723,,,
237543,192,281769,,,
237583,191,281772,,,
237658,192,281790,,,
237640,193,281737,,,
237438,193,281585,,,
237308,192,281507,,,
237221,192,281461,,,
237107,191,281439,,,
237081,192,281429,,,
237077,193,281474,,,
237049,192,281450,,,
